,Algorithm,Num of Anomalies,F1 Score,Precision,Recall
0,GMM,0,0.998,0.998,1.0
1,GMM,1,0.9993333333333334,0.999,1.0
2,GMM,2,0.9995999999999999,0.9993333333333334,1.0
3,GMM,3,0.9997142857142858,0.9995,1.0
4,GMM,4,0.9997777777777779,0.9995999999999999,1.0
5,GMM,5,0.9998181818181818,0.9996666666666666,1.0
6,GMM,6,0.9999230769230769,0.9998571428571429,1.0
7,GMM,7,0.9999333333333333,0.999875,1.0
8,GMM,8,0.9999411764705883,0.9998888888888889,1.0
9,GMM,9,0.9999473684210527,0.9999,1.0
10,GMM,10,0.9999523809523809,0.999909090909091,1.0
